Altium Designer Pick and Place Locations
C:\Onedrive\04_Development\01_Project\Active\08_ZYNQ-7000_SOM_Bd\Proj-ZYNQ-7000_SOM_Bd\Rev_A\01_HW\ZYNQ-7000 SOM Bd\Project Outputs for ZYNQ-7000 SOM Bd\Pick Place\Pick Place for ZYNQ-7000_SOM_Bd.csv

========================================================================================================================
File Design Information:

Date:       18-05-24
Time:       04:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R503","120R/1005","BottomLayer","RES_1005_(0402_inch)","51.7000","29.4400","90","RES_120R/1005/62.5mW"
"R422","12K/1005","BottomLayer","RES_1005_(0402_inch)","51.4000","36.7000","90","RES_12K/1005/62.5mW"
"C401","100nF/16V/1005","BottomLayer","CAP_1005_(0402_INCH)","50.2000","36.7000","90","Ceramic CAP_100nF/16V/1005"
"C601","4.7uF/10V/1005","BottomLayer","CAP_1005_(0402_INCH)","66.5000","20.8600","90","10V 4.7uF X5R ▽20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"R910","510R/1005","TopLayer","RES_1005_(0402_inch)","10.5000","38.1900","90","RES_510R/1005/62.5mW"
"LED900","GREEN/2012","TopLayer","LED_MHT170RGBCT_(GREEN)","14.0000","37.9750","0","Colorless transparence -30﹎~+85﹎ Positive post Common anode RGB 120﹉ 0805  Light Emitting Diodes (LED) ROHS"
"X600","S2D50.000000B20F30T(50MHz)","TopLayer","OSC_SMD_2.5x2.0_(SCTF)","46.7500","35.0000","180","3.3V 20mA ▽30ppm CMOS 50MHz SMD2520-4P  Oscillators ROHS"
"X500","S2D33.333300B20F30T(33.33MHz)","TopLayer","OSC_SMD_2.5x2.0_(SCTF)","43.1228","35.0272","180","3.3V ▽20ppm CMOS 33.3333MHz SMD2520-4P  Oscillators ROHS"
"U801","MT41K256M16TW-107 IT:P","TopLayer","IC_MEM_DDR3L_MT41K256M16TW-107_IT:P","19.0228","16.5272","270","SDRAM - DDR3L Memory IC 4Gbit Parallel 933 MHz 20 ns 96-FBGA (8x14)"
"U800","MT41K256M16TW-107 IT:P","TopLayer","IC_MEM_DDR3L_MT41K256M16TW-107_IT:P","19.0228","32.8272","270","SDRAM - DDR3L Memory IC 4Gbit Parallel 933 MHz 20 ns 96-FBGA (8x14)"
"U701","BD3539FVM-TR","TopLayer","IC_MSOP-8","5.8250","39.0250","180","1.0V to 5.5V, 1A 1ch
Termination Regulators for DDR-SDRAMs, 8-MSOP"
"U502","SN74LVC1G07DBVT","BottomLayer","SOT-23-5_(TI_DBV_PACKAGE)","28.9000","37.9500","180","Single Buffer/Driver With Open-Drain Output / IC BUF NON-INVERT 5.5V SOT23-5"
"U500","W25Q128JVEIQ","TopLayer","IC_WSON-8-8X6","36.7500","38.5000","0","3V 128M-BIT SERIAL FLASH MEMORY WITH DUAL/QUAD SPI & QPI & DTR WSON-8"
