No.,IO Bank,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg. Trace Delay (ps),Pin Number,Avg. Trace Delay (ps),,Prohibit,Interface,Signal Name,Direction,IO Standard,Drive (mA),Slew Rate,OFFCHIP_TERM,Board Signal,Board Voltage
1,502,IOPAD_X1Y63,PS_DDR_DQ31_502,72.21,72.935,72.573,V3,72.573,,,DDR_54576,DDR_dq[31],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
2,502,IOPAD_X1Y62,PS_DDR_DQ30_502,80.746,81.557,81.152,V2,81.152,,,DDR_54576,DDR_dq[30],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
3,502,IOPAD_X1Y61,PS_DDR_DQ29_502,72.799,73.531,73.165,W3,73.165,,,DDR_54576,DDR_dq[29],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
4,502,IOPAD_X1Y60,PS_DDR_DQ28_502,83.196,84.032,83.614,Y2,83.614,,,DDR_54576,DDR_dq[28],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
5,502,IOPAD_X1Y59,PS_DDR_DQ27_502,82.756,83.588,83.172,Y4,83.172,,,DDR_54576,DDR_dq[27],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
6,502,IOPAD_X1Y58,PS_DDR_DQ26_502,89.528,90.428,89.978,W1,89.978,,,DDR_54576,DDR_dq[26],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
7,502,IOPAD_X1Y57,PS_DDR_DQ25_502,86.098,86.963,86.531,Y3,86.531,,,DDR_54576,DDR_dq[25],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
8,502,IOPAD_X1Y56,PS_DDR_DQ24_502,82.582,83.412,82.997,V1,82.997,,,DDR_54576,DDR_dq[24],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
9,502,IOPAD_X1Y55,PS_DDR_DQ23_502,61.027,61.641,61.334,U3,61.334,,,DDR_54576,DDR_dq[23],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
10,502,IOPAD_X1Y54,PS_DDR_DQ22_502,63.075,63.709,63.392,U2,63.392,,,DDR_54576,DDR_dq[22],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
11,502,IOPAD_X1Y53,PS_DDR_DQ21_502,51.867,52.388,52.128,U4,52.128,,,DDR_54576,DDR_dq[21],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
12,502,IOPAD_X1Y52,PS_DDR_DQ20_502,51.442,51.959,51.701,T4,51.701,,,DDR_54576,DDR_dq[20],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
13,502,IOPAD_X1Y51,PS_DDR_DQ19_502,65.638,66.298,65.968,R1,65.968,,,DDR_54576,DDR_dq[19],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
14,502,IOPAD_X1Y50,PS_DDR_DQ18_502,50.1,50.603,50.352,R3,50.352,,,DDR_54576,DDR_dq[18],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
15,502,IOPAD_X1Y49,PS_DDR_DQ17_502,67.544,68.223,67.884,P3,67.884,,,DDR_54576,DDR_dq[17],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
16,502,IOPAD_X1Y48,PS_DDR_DQ16_502,56.815,57.386,57.101,P1,57.101,,,DDR_54576,DDR_dq[16],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
17,502,IOPAD_X1Y47,PS_DDR_DQ15_502,61.064,61.678,61.371,J1,61.371,,,DDR_54576,DDR_dq[15],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
18,502,IOPAD_X1Y46,PS_DDR_DQ14_502,66.576,67.245,66.911,H1,66.911,,,DDR_54576,DDR_dq[14],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
19,502,IOPAD_X1Y45,PS_DDR_DQ13_502,62.455,63.083,62.769,H2,62.769,,,DDR_54576,DDR_dq[13],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
20,502,IOPAD_X1Y44,PS_DDR_DQ12_502,62.32,62.946,62.633,J3,62.633,,,DDR_54576,DDR_dq[12],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
21,502,IOPAD_X1Y43,PS_DDR_DQ11_502,60.391,60.998,60.695,H3,60.695,,,DDR_54576,DDR_dq[11],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
22,502,IOPAD_X1Y42,PS_DDR_DQ10_502,64.333,64.98,64.657,G3,64.657,,,DDR_54576,DDR_dq[10],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
23,502,IOPAD_X1Y41,PS_DDR_DQ9_502,80.156,80.961,80.559,E3,80.559,,,DDR_54576,DDR_dq[9],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
24,502,IOPAD_X1Y40,PS_DDR_DQ8_502,71.186,71.901,71.544,E2,71.544,,,DDR_54576,DDR_dq[8],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
25,502,IOPAD_X1Y39,PS_DDR_DQ7_502,96.145,97.111,96.628,E1,96.628,,,DDR_54576,DDR_dq[7],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
26,502,IOPAD_X1Y38,PS_DDR_DQ6_502,104.776,105.829,105.303,C1,105.303,,,DDR_54576,DDR_dq[6],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
27,502,IOPAD_X1Y37,PS_DDR_DQ5_502,94.8,95.753,95.277,D1,95.277,,,DDR_54576,DDR_dq[5],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
28,502,IOPAD_X1Y36,PS_DDR_DQ4_502,95.519,96.479,95.999,D3,95.999,,,DDR_54576,DDR_dq[4],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
29,502,IOPAD_X1Y35,PS_DDR_DQ3_502,113.988,115.134,114.561,A4,114.561,,,DDR_54576,DDR_dq[3],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
30,502,IOPAD_X1Y34,PS_DDR_DQ2_502,93.939,94.883,94.411,A2,94.411,,,DDR_54576,DDR_dq[2],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
31,502,IOPAD_X1Y33,PS_DDR_DQ1_502,106.703,107.775,107.239,B3,107.239,,,DDR_54576,DDR_dq[1],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
32,502,IOPAD_X1Y32,PS_DDR_DQ0_502,94.85,95.804,95.327,C3,95.327,,,DDR_54576,DDR_dq[0],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
33,502,IOPAD_X1Y21,PS_DDR_BA2_502,59.622,60.221,59.922,J5,59.922,,,DDR_54576,DDR_ba[2],OUT,SSTL15,,SLOW,FP_VTT_50,,
34,502,IOPAD_X1Y20,PS_DDR_BA1_502,79.187,79.982,79.585,R4,79.585,,,DDR_54576,DDR_ba[1],OUT,SSTL15,,SLOW,FP_VTT_50,,
35,502,IOPAD_X1Y19,PS_DDR_BA0_502,30.438,30.744,30.591,L5,30.591,,,DDR_54576,DDR_ba[0],OUT,SSTL15,,SLOW,FP_VTT_50,,
36,502,IOPAD_X1Y17,PS_DDR_A14_502,64.291,64.937,64.614,F4,64.614,,,DDR_54576,DDR_addr[14],OUT,SSTL15,,SLOW,FP_VTT_50,,
37,502,IOPAD_X1Y18,PS_DDR_A13_502,98.361,99.349,98.855,D4,98.855,,,DDR_54576,DDR_addr[13],OUT,SSTL15,,SLOW,FP_VTT_50,,
38,502,IOPAD_X1Y16,PS_DDR_A12_502,96.159,97.125,96.642,E4,96.642,,,DDR_54576,DDR_addr[12],OUT,SSTL15,,SLOW,FP_VTT_50,,
39,502,IOPAD_X1Y15,PS_DDR_A11_502,60.178,60.783,60.481,G4,60.481,,,DDR_54576,DDR_addr[11],OUT,SSTL15,,SLOW,FP_VTT_50,,
40,502,IOPAD_X1Y14,PS_DDR_A10_502,66.279,66.946,66.613,F5,66.613,,,DDR_54576,DDR_addr[10],OUT,SSTL15,,SLOW,FP_VTT_50,,
41,502,IOPAD_X1Y13,PS_DDR_A9_502,66.915,67.587,67.251,J4,67.251,,,DDR_54576,DDR_addr[9],OUT,SSTL15,,SLOW,FP_VTT_50,,
42,502,IOPAD_X1Y12,PS_DDR_A8_502,69.302,69.999,69.651,K1,69.651,,,DDR_54576,DDR_addr[8],OUT,SSTL15,,SLOW,FP_VTT_50,,
43,502,IOPAD_X1Y11,PS_DDR_A7_502,42.325,42.75,42.538,K4,42.538,,,DDR_54576,DDR_addr[7],OUT,SSTL15,,SLOW,FP_VTT_50,,
44,502,IOPAD_X1Y10,PS_DDR_A6_502,40.537,40.944,40.741,L4,40.741,,,DDR_54576,DDR_addr[6],OUT,SSTL15,,SLOW,FP_VTT_50,,
45,502,IOPAD_X1Y9,PS_DDR_A5_502,61.832,62.454,62.143,L1,62.143,,,DDR_54576,DDR_addr[5],OUT,SSTL15,,SLOW,FP_VTT_50,,
46,502,IOPAD_X1Y8,PS_DDR_A4_502,67.673,68.354,68.014,M4,68.014,,,DDR_54576,DDR_addr[4],OUT,SSTL15,,SLOW,FP_VTT_50,,
47,502,IOPAD_X1Y7,PS_DDR_A3_502,44.291,44.736,44.514,K3,44.514,,,DDR_54576,DDR_addr[3],OUT,SSTL15,,SLOW,FP_VTT_50,,
48,502,IOPAD_X1Y6,PS_DDR_A2_502,46.914,47.386,47.150,M3,47.150,,,DDR_54576,DDR_addr[2],OUT,SSTL15,,SLOW,FP_VTT_50,,
49,502,IOPAD_X1Y5,PS_DDR_A1_502,58.631,59.22,58.926,K2,58.926,,,DDR_54576,DDR_addr[1],OUT,SSTL15,,SLOW,FP_VTT_50,,
50,502,IOPAD_X1Y4,PS_DDR_A0_502,52.998,53.531,53.265,N2,53.265,,,DDR_54576,DDR_addr[0],OUT,SSTL15,,SLOW,FP_VTT_50,,
51,502,IOPAD_X1Y31,PS_DDR_DM3_502,90.263,91.171,90.717,Y1,90.717,,,DDR_54576,DDR_dm[3],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
52,502,IOPAD_X1Y30,PS_DDR_DM2_502,75.406,76.164,75.785,T1,75.785,,,DDR_54576,DDR_dm[2],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
53,502,IOPAD_X1Y29,PS_DDR_DM1_502,73.274,74.011,73.643,F1,73.643,,,DDR_54576,DDR_dm[1],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
54,502,IOPAD_X1Y28,PS_DDR_DM0_502,96.166,97.133,96.650,A1,96.650,,,DDR_54576,DDR_dm[0],INOUT,SSTL15_T_DCI,,FAST,FP_VTT_50,,
55,502,IOPAD_X1Y71,PS_DDR_DQS_P3_502,70.335,71.042,70.689,W5,70.689,,,DDR_54576,DDR_dqs_p[3],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
56,502,IOPAD_X1Y70,PS_DDR_DQS_P2_502,59.526,60.124,59.825,R2,59.825,,,DDR_54576,DDR_dqs_p[2],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
57,502,IOPAD_X1Y69,PS_DDR_DQS_P1_502,79.958,80.761,80.360,G2,80.360,,,DDR_54576,DDR_dqs_p[1],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
58,502,IOPAD_X1Y68,PS_DDR_DQS_P0_502,100.623,101.634,101.129,C2,101.129,,,DDR_54576,DDR_dqs_p[0],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
59,502,IOPAD_X1Y67,PS_DDR_DQS_N3_502,72.48,73.208,72.844,W4,72.844,,,DDR_54576,DDR_dqs_n[3],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
60,502,IOPAD_X1Y66,PS_DDR_DQS_N2_502,60.933,61.546,61.240,T2,61.240,,,DDR_54576,DDR_dqs_n[2],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
61,502,IOPAD_X1Y65,PS_DDR_DQS_N1_502,78.244,79.03,78.637,F2,78.637,,,DDR_54576,DDR_dqs_n[1],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
62,502,IOPAD_X1Y64,PS_DDR_DQS_N0_502,100.841,101.855,101.348,B2,101.348,,,DDR_54576,DDR_dqs_n[0],INOUT,DIFF_SSTL15_T_DCI,,FAST,FP_VTT_50,,
63,502,IOPAD_X1Y22,PS_DDR_CAS_B_502,46.243,46.708,46.476,P5,46.476,,,DDR_54576,DDR_cas_n,OUT,SSTL15,,SLOW,FP_VTT_50,,
64,502,IOPAD_X1Y24,PS_DDR_CKN_502,52.469,52.997,52.733,M2,52.733,,,DDR_54576,DDR_ck_n,IN,DIFF_SSTL15,,FAST,FP_VTT_50,,
65,502,IOPAD_X1Y25,PS_DDR_CKP_502,56.093,56.657,56.375,L2,56.375,,,DDR_54576,DDR_ck_p,IN,DIFF_SSTL15,,FAST,FP_VTT_50,,
66,502,IOPAD_X1Y23,PS_DDR_CKE_502,41.814,42.234,42.024,N3,42.024,,,DDR_54576,DDR_cke,OUT,SSTL15,,SLOW,FP_VTT_50,,
67,502,IOPAD_X1Y27,PS_DDR_CS_B_502,57.902,58.484,58.193,N1,58.193,,,DDR_54576,DDR_cs_n,OUT,SSTL15,,SLOW,FP_VTT_50,,
68,502,IOPAD_X1Y131,PS_DDR_ODT_502,41.769,42.188,41.979,N5,41.979,,,DDR_54576,DDR_odt,OUT,SSTL15,,SLOW,FP_VTT_50,,
69,502,IOPAD_X1Y133,PS_DDR_RAS_B_502,62.999,63.632,63.316,P4,63.316,,,DDR_54576,DDR_ras_n,OUT,SSTL15,,SLOW,FP_VTT_50,,
70,502,IOPAD_X1Y72,PS_DDR_DRST_B_502,74.19,74.936,74.563,B4,74.563,,,DDR_54576,DDR_reset_n,INOUT,SSTL15,,FAST,FP_VTT_50,,
71,502,IOPAD_X1Y1,PS_DDR_WE_B_502,68.997,69.691,69.344,M5,69.344,,,DDR_54576,DDR_we_n,OUT,SSTL15,,SLOW,FP_VTT_50,,
72,501,IOPAD_X1Y130,PS_MIO53_501,63.134,63.768,63.451,C11,63.451,,,FIXED_IO_54576,FIXED_IO_mio[53],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
73,501,IOPAD_X1Y129,PS_MIO52_501,70.455,71.163,70.809,C10,70.809,,,FIXED_IO_54576,FIXED_IO_mio[52],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
74,501,IOPAD_X1Y128,PS_MIO51_501,57.756,58.337,58.047,B9,58.047,,,FIXED_IO_54576,FIXED_IO_mio[51],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
75,501,IOPAD_X1Y127,PS_MIO50_501,98.173,99.159,98.666,B13,98.666,,,FIXED_IO_54576,FIXED_IO_mio[50],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
76,501,IOPAD_X1Y126,PS_MIO49_501,79.593,80.393,79.993,C12,79.993,,,FIXED_IO_54576,FIXED_IO_mio[49],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
77,501,IOPAD_X1Y125,PS_MIO48_501,107.618,108.7,108.159,B12,108.159,,,FIXED_IO_54576,FIXED_IO_mio[48],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
78,501,IOPAD_X1Y124,PS_MIO47_501,96.208,97.174,96.691,B14,96.691,,,FIXED_IO_54576,FIXED_IO_mio[47],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
79,501,IOPAD_X1Y123,PS_MIO46_501,155.98,157.548,156.764,D16,156.764,,,FIXED_IO_54576,FIXED_IO_mio[46],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
80,501,IOPAD_X1Y122,PS_MIO45_501,124.747,126.001,125.374,B15,125.374,,,FIXED_IO_54576,FIXED_IO_mio[45],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
81,501,IOPAD_X1Y121,PS_MIO44_501,117.387,118.567,117.977,F13,117.977,,,FIXED_IO_54576,FIXED_IO_mio[44],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
82,501,IOPAD_X1Y120,PS_MIO43_501,67.899,68.581,68.240,A9,68.240,,,FIXED_IO_54576,FIXED_IO_mio[43],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
83,501,IOPAD_X1Y119,PS_MIO42_501,73.251,73.987,73.619,E12,73.619,,,FIXED_IO_54576,FIXED_IO_mio[42],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
84,501,IOPAD_X1Y118,PS_MIO41_501,125.035,126.292,125.664,C17,125.664,,,FIXED_IO_54576,FIXED_IO_mio[41],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
85,501,IOPAD_X1Y117,PS_MIO40_501,93.125,94.061,93.593,D14,93.593,,,FIXED_IO_54576,FIXED_IO_mio[40],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
86,501,IOPAD_X1Y116,PS_MIO39_501,130.5,131.811,131.156,C18,131.156,,,FIXED_IO_54576,FIXED_IO_mio[39],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
87,501,IOPAD_X1Y115,PS_MIO38_501,81.545,82.365,81.955,E13,81.955,,,FIXED_IO_54576,FIXED_IO_mio[38],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
88,501,IOPAD_X1Y114,PS_MIO37_501,84.685,85.536,85.111,A10,85.111,,,FIXED_IO_54576,FIXED_IO_mio[37],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
89,501,IOPAD_X1Y113,PS_MIO36_501,84.976,85.83,85.403,A11,85.403,,,FIXED_IO_54576,FIXED_IO_mio[36],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
90,501,IOPAD_X1Y112,PS_MIO35_501,91.895,92.819,92.357,F12,92.357,,,FIXED_IO_54576,FIXED_IO_mio[35],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
91,501,IOPAD_X1Y111,PS_MIO34_501,96.478,97.448,96.963,A12,96.963,,,FIXED_IO_54576,FIXED_IO_mio[34],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
92,501,IOPAD_X1Y110,PS_MIO33_501,105.949,107.014,106.482,D15,106.482,,,FIXED_IO_54576,FIXED_IO_mio[33],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
93,501,IOPAD_X1Y109,PS_MIO32_501,112.814,113.948,113.381,A14,113.381,,,FIXED_IO_54576,FIXED_IO_mio[32],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
94,501,IOPAD_X1Y108,PS_MIO31_501,159.317,160.918,160.118,E16,160.118,,,FIXED_IO_54576,FIXED_IO_mio[31],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
95,501,IOPAD_X1Y107,PS_MIO30_501,131.324,132.644,131.984,C15,131.984,,,FIXED_IO_54576,FIXED_IO_mio[30],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
96,501,IOPAD_X1Y106,PS_MIO29_501,122.301,123.53,122.916,C13,122.916,,,FIXED_IO_54576,FIXED_IO_mio[29],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
97,501,IOPAD_X1Y105,PS_MIO28_501,134.725,136.079,135.402,C16,135.402,,,FIXED_IO_54576,FIXED_IO_mio[28],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
98,501,IOPAD_X1Y104,PS_MIO27_501,140.12,141.528,140.824,D13,140.824,,,FIXED_IO_54576,FIXED_IO_mio[27],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
99,501,IOPAD_X1Y103,PS_MIO26_501,135.271,136.631,135.951,A15,135.951,,,FIXED_IO_54576,FIXED_IO_mio[26],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
100,501,IOPAD_X1Y102,PS_MIO25_501,133.462,134.804,134.133,F15,134.133,,,FIXED_IO_54576,FIXED_IO_mio[25],INOUT,LVCMOS18,12,SLOW,FP_VTT_50,,
